         nH         pok         xH2        xHII          xe      chi_pe      chi_lw      chi_h2      chi_ci       xi_cr     nLambda       Gamma 
1.00000e-02 1.03560e+02 1.43623e-10 8.81383e-02 8.81571e-02 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 9.12737e-28 9.15704e-28 
1.12202e-02 1.15972e+02 1.59985e-10 8.71121e-02 8.71309e-02 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 9.46400e-28 9.12952e-28 
1.25893e-02 1.29000e+02 1.81739e-10 8.23123e-02 8.23309e-02 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 9.34348e-28 9.18797e-28 
1.41254e-02 1.43499e+02 2.06344e-10 7.78537e-02 7.78722e-02 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 9.29844e-28 9.23976e-28 
1.58489e-02 1.59642e+02 2.34175e-10 7.37465e-02 7.37649e-02 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 9.16202e-28 9.28714e-28 
1.77828e-02 1.77556e+02 2.66008e-10 6.96071e-02 6.96253e-02 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 9.35281e-28 9.34006e-28 
1.99526e-02 1.97526e+02 3.02049e-10 6.56995e-02 6.57176e-02 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 9.51420e-28 9.39281e-28 
2.23872e-02 2.19782e+02 3.42871e-10 6.20058e-02 6.20238e-02 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 9.65093e-28 9.44636e-28 
2.51189e-02 2.44585e+02 3.89129e-10 5.84925e-02 5.85104e-02 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 9.76466e-28 9.50129e-28 
2.81838e-02 2.71492e+02 4.44140e-10 5.42476e-02 5.42653e-02 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 9.68167e-28 9.59997e-28 
3.16228e-02 3.02421e+02 5.03152e-10 5.12095e-02 5.12272e-02 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 9.68301e-28 9.65012e-28 
3.54813e-02 3.36894e+02 5.69851e-10 4.84246e-02 4.84422e-02 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 9.68006e-28 9.69558e-28 
3.98107e-02 3.75305e+02 6.45339e-10 4.58152e-02 4.58326e-02 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 9.67759e-28 9.73753e-28 
4.46684e-02 4.18921e+02 7.27289e-10 4.41518e-02 4.41692e-02 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 9.49638e-28 9.70892e-28 
5.01187e-02 4.66291e+02 8.25381e-10 4.14834e-02 4.15007e-02 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 9.64143e-28 9.77355e-28 
5.62341e-02 5.19032e+02 9.36622e-10 3.89468e-02 3.89641e-02 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 9.77024e-28 9.83732e-28 
6.30957e-02 5.77736e+02 1.06280e-09 3.65518e-02 3.65689e-02 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 9.88156e-28 9.89992e-28 
7.07946e-02 6.43054e+02 1.20596e-09 3.43079e-02 3.43250e-02 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 9.97564e-28 9.96107e-28 
7.94328e-02 7.15687e+02 1.36853e-09 3.22049e-02 3.22219e-02 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.00539e-27 1.00205e-27 
8.91251e-02 7.96734e+02 1.55139e-09 3.04844e-02 3.05014e-02 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 9.92576e-28 1.00449e-27 
1.00000e-01 8.86363e+02 1.76149e-09 2.86186e-02 2.86355e-02 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.00009e-27 1.00993e-27 
1.12202e-01 9.85668e+02 2.00134e-09 2.68330e-02 2.68499e-02 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.00794e-27 1.01560e-27 
1.25893e-01 1.09553e+03 2.27565e-09 2.51285e-02 2.51453e-02 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.01584e-27 1.02141e-27 
1.41254e-01 1.21681e+03 2.59017e-09 2.35050e-02 2.35217e-02 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.02349e-27 1.02726e-27 
1.58489e-01 1.35030e+03 2.95205e-09 2.19636e-02 2.19803e-02 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.03069e-27 1.03306e-27 
1.77828e-01 1.49659e+03 3.37054e-09 2.05018e-02 2.05184e-02 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.03730e-27 1.03871e-27 
1.99526e-01 1.65585e+03 3.85817e-09 1.91149e-02 1.91315e-02 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.04325e-27 1.04411e-27 
2.23872e-01 1.82704e+03 4.43369e-09 1.78248e-02 1.78414e-02 1.00000e-01 1.00000e-01 1.00000e-01 1.00000e-01 2.00000e-17 1.04179e-27 1.04851e-27 
