         nH         pok         xH2        xHII          xe      chi_pe      chi_lw      chi_h2      chi_ci       xi_cr     nLambda       Gamma 
1.00000e-02 1.03178e+02 1.47024e-11 8.92401e-02 8.92590e-02 9.90313e-01 9.80719e-01 9.80660e-01 9.80719e-01 2.00000e-17 9.01661e-28 9.10854e-28 
1.12202e-02 1.15441e+02 1.64436e-11 8.73530e-02 8.73718e-02 9.89974e-01 9.80048e-01 9.79989e-01 9.80048e-01 2.00000e-17 9.36259e-28 9.10394e-28 
1.25893e-02 1.28380e+02 1.86963e-11 8.26152e-02 8.26338e-02 9.89623e-01 9.79354e-01 9.79295e-01 9.79354e-01 2.00000e-17 9.30095e-28 9.17703e-28 
1.41254e-02 1.42782e+02 2.12484e-11 7.82150e-02 7.82335e-02 9.89261e-01 9.78637e-01 9.78577e-01 9.78637e-01 2.00000e-17 9.29333e-28 9.24792e-28 
1.58489e-02 1.58809e+02 2.41422e-11 7.41249e-02 7.41432e-02 9.88885e-01 9.77894e-01 9.77834e-01 9.77894e-01 2.00000e-17 9.22013e-28 9.31848e-28 
1.77828e-02 1.76604e+02 2.74525e-11 7.00151e-02 7.00333e-02 9.88497e-01 9.77126e-01 9.77066e-01 9.77126e-01 2.00000e-17 9.41829e-28 9.39876e-28 
1.99526e-02 1.96438e+02 3.12058e-11 6.61372e-02 6.61553e-02 9.88095e-01 9.76332e-01 9.76272e-01 9.76332e-01 2.00000e-17 9.59515e-28 9.48332e-28 
2.23872e-02 2.18542e+02 3.54622e-11 6.24753e-02 6.24933e-02 9.87679e-01 9.75511e-01 9.75450e-01 9.75511e-01 2.00000e-17 9.75486e-28 9.57345e-28 
2.51189e-02 2.43175e+02 4.02905e-11 5.89981e-02 5.90160e-02 9.87249e-01 9.74661e-01 9.74600e-01 9.74661e-01 2.00000e-17 9.89940e-28 9.67010e-28 
2.81838e-02 2.69923e+02 4.60136e-11 5.49237e-02 5.49414e-02 9.86804e-01 9.73782e-01 9.73720e-01 9.73782e-01 2.00000e-17 9.87165e-28 9.81491e-28 
3.16228e-02 3.00627e+02 5.21921e-11 5.19372e-02 5.19549e-02 9.86344e-01 9.72874e-01 9.72811e-01 9.72874e-01 2.00000e-17 9.93546e-28 9.91924e-28 
3.54813e-02 3.34846e+02 5.91912e-11 4.91485e-02 4.91661e-02 9.85867e-01 9.71934e-01 9.71871e-01 9.71934e-01 2.00000e-17 1.00043e-27 1.00261e-27 
3.98107e-02 3.72974e+02 6.71256e-11 4.65276e-02 4.65451e-02 9.85374e-01 9.70962e-01 9.70898e-01 9.70962e-01 2.00000e-17 1.00819e-27 1.01370e-27 
4.46684e-02 4.15446e+02 7.61253e-11 4.40669e-02 4.40844e-02 9.84864e-01 9.69957e-01 9.69892e-01 9.69957e-01 2.00000e-17 1.01712e-27 1.02537e-27 
5.01187e-02 4.63538e+02 8.59866e-11 4.23868e-02 4.24042e-02 9.84336e-01 9.68918e-01 9.68851e-01 9.68918e-01 2.00000e-17 1.01256e-27 1.02949e-27 
5.62341e-02 5.16039e+02 9.76633e-11 3.99393e-02 3.99566e-02 9.83790e-01 9.67843e-01 9.67775e-01 9.67843e-01 2.00000e-17 1.03285e-27 1.04482e-27 
6.30957e-02 5.74502e+02 1.10923e-10 3.76229e-02 3.76401e-02 9.83225e-01 9.66732e-01 9.66663e-01 9.66732e-01 2.00000e-17 1.05313e-27 1.06112e-27 
7.07946e-02 6.39585e+02 1.25986e-10 3.54352e-02 3.54523e-02 9.82641e-01 9.65583e-01 9.65512e-01 9.65583e-01 2.00000e-17 1.07352e-27 1.07846e-27 
